epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4023,3.20064,8.2512,3.08712,0.66036,0.52548,0.61036,0.28515,3.35888,7.02199,3.45732,0.000663492,0.000663492,0.000663492
2,56.7395,3.28344,6.10524,3.06212,0.58201,0.53212,0.62181,0.27414,3.44509,5.30831,3.47937,0.00131699,0.00131699,0.00131699
3,83.4281,3.31776,4.93508,3.07132,0.49737,0.52866,0.53967,0.2486,3.30076,4.27731,3.24223,0.00195729,0.00195729,0.00195729
4,110.042,3.30381,3.91225,3.00908,0.71903,0.69276,0.73568,0.3851,3.20167,2.82896,3.06796,0.0019406,0.0019406,0.0019406
5,137.193,3.25111,3.27546,2.96223,0.67214,0.58108,0.65743,0.34702,3.3077,2.60981,3.24791,0.0019208,0.0019208,0.0019208
6,164.469,3.24024,3.03601,2.94879,0.72625,0.7293,0.78757,0.39151,3.23057,2.15598,3.10411,0.001901,0.001901,0.001901
7,197.421,3.1648,2.78037,2.92555,0.77865,0.80662,0.84643,0.45795,3.07741,1.878,2.99058,0.0018812,0.0018812,0.0018812
8,225.235,3.04363,2.50078,2.83799,0.76626,0.80255,0.86653,0.45051,3.17328,1.79356,3.02931,0.0018614,0.0018614,0.0018614
9,252.093,3.03786,2.41618,2.8435,0.87139,0.71975,0.8652,0.44273,3.07118,1.80452,2.97244,0.0018416,0.0018416,0.0018416
10,278.137,2.96248,2.26577,2.77829,0.80958,0.77707,0.85519,0.46865,3.02837,1.55273,2.91749,0.0018218,0.0018218,0.0018218
11,306.006,2.90109,2.17685,2.73418,0.8161,0.76752,0.85083,0.46952,3.01953,1.69536,2.9194,0.001802,0.001802,0.001802
12,334,2.85756,2.16966,2.72374,0.88002,0.78344,0.88753,0.47486,3.11891,1.66519,3.03158,0.0017822,0.0017822,0.0017822
13,360.694,2.90045,2.11376,2.72312,0.77733,0.84395,0.88346,0.4882,2.84666,1.60996,2.79601,0.0017624,0.0017624,0.0017624
14,386.603,2.84614,2.02657,2.7085,0.77004,0.83182,0.85654,0.50263,2.97233,1.66975,2.88848,0.0017426,0.0017426,0.0017426
15,412.025,2.83764,2.05343,2.70677,0.86646,0.77389,0.8785,0.49748,2.96885,1.61435,2.89496,0.0017228,0.0017228,0.0017228
16,437.202,2.78026,1.95803,2.66576,0.86918,0.80892,0.90772,0.5182,2.87516,1.44654,2.78006,0.001703,0.001703,0.001703
17,462.352,2.8138,1.91454,2.69992,0.86809,0.85932,0.9189,0.5343,2.81179,1.35553,2.77882,0.0016832,0.0016832,0.0016832
18,488.059,2.66337,1.81443,2.57332,0.86095,0.84792,0.90879,0.54882,2.73031,1.39618,2.70822,0.0016634,0.0016634,0.0016634
19,514.029,2.62444,1.71341,2.57207,0.84314,0.873,0.91517,0.54169,2.68605,1.356,2.71717,0.0016436,0.0016436,0.0016436
20,539.474,2.58651,1.71789,2.55381,0.89566,0.81529,0.91459,0.54371,2.69183,1.30174,2.69664,0.0016238,0.0016238,0.0016238
21,565.12,2.57146,1.69514,2.5604,0.89198,0.8678,0.92777,0.57085,2.54859,1.24545,2.61169,0.001604,0.001604,0.001604
22,590.762,2.52115,1.66567,2.51654,0.91394,0.80892,0.91191,0.55338,2.66777,1.26549,2.67758,0.0015842,0.0015842,0.0015842
23,616.369,2.5488,1.63803,2.52633,0.91156,0.85349,0.9329,0.56811,2.65864,1.2211,2.72191,0.0015644,0.0015644,0.0015644
24,642.428,2.43928,1.60388,2.47127,0.89032,0.86306,0.92489,0.56285,2.55681,1.22373,2.62727,0.0015446,0.0015446,0.0015446
25,668.9,2.51795,1.60945,2.52746,0.90855,0.87261,0.9418,0.60188,2.59308,1.18024,2.70273,0.0015248,0.0015248,0.0015248
26,693.847,2.42311,1.58115,2.49242,0.88992,0.88217,0.94192,0.61303,2.403,1.2118,2.54651,0.001505,0.001505,0.001505
27,719.123,2.33495,1.50577,2.42621,0.8824,0.88419,0.92867,0.59744,2.47453,1.1731,2.54354,0.0014852,0.0014852,0.0014852
28,744.094,2.29173,1.53325,2.38939,0.84642,0.8776,0.92841,0.60744,2.41028,1.16748,2.53283,0.0014654,0.0014654,0.0014654
29,769.133,2.35046,1.5131,2.43444,0.88655,0.84617,0.92585,0.61457,2.31965,1.08777,2.48254,0.0014456,0.0014456,0.0014456
30,794.253,2.31118,1.49647,2.40113,0.88341,0.89282,0.93513,0.6099,2.36277,1.10262,2.49757,0.0014258,0.0014258,0.0014258
31,819.237,2.27027,1.44269,2.40194,0.91377,0.91083,0.9531,0.62698,2.26592,1.04989,2.47411,0.001406,0.001406,0.001406
32,844.344,2.21202,1.40155,2.36344,0.86299,0.9172,0.93928,0.65126,2.11072,1.02831,2.39006,0.0013862,0.0013862,0.0013862
33,869.323,2.23516,1.46751,2.38197,0.9113,0.88343,0.94511,0.63446,2.2593,1.07588,2.46858,0.0013664,0.0013664,0.0013664
34,894.267,2.15715,1.37737,2.33086,0.88484,0.88095,0.92677,0.62369,2.21982,1.04709,2.45572,0.0013466,0.0013466,0.0013466
35,919.831,2.12745,1.33915,2.32207,0.92411,0.85987,0.94197,0.63741,2.19825,1.07934,2.40233,0.0013268,0.0013268,0.0013268
36,946.405,2.11263,1.36513,2.30225,0.86966,0.89248,0.94053,0.63439,2.1537,1.08275,2.41479,0.001307,0.001307,0.001307
37,972.466,2.14179,1.36186,2.32519,0.92903,0.8758,0.93623,0.63243,2.1623,1.04829,2.42472,0.0012872,0.0012872,0.0012872
38,997.459,2.11891,1.34362,2.33021,0.8982,0.89172,0.94118,0.64851,2.17502,1.01277,2.44292,0.0012674,0.0012674,0.0012674
39,1022.62,2.04304,1.33316,2.29337,0.90416,0.88535,0.94716,0.65583,2.05949,0.98953,2.37358,0.0012476,0.0012476,0.0012476
40,1049.25,2.01582,1.34493,2.28672,0.91834,0.8535,0.94572,0.66529,2.09687,1.00961,2.38171,0.0012278,0.0012278,0.0012278
41,1076.5,1.98957,1.33414,2.26977,0.92283,0.8949,0.94989,0.66134,2.01152,0.95857,2.34918,0.001208,0.001208,0.001208
42,1102.49,1.99533,1.28743,2.25521,0.90989,0.83607,0.93784,0.67404,1.97905,1.01801,2.32803,0.0011882,0.0011882,0.0011882
43,1129.57,1.89653,1.19244,2.20693,0.90446,0.90445,0.94878,0.66055,1.95387,0.95165,2.32593,0.0011684,0.0011684,0.0011684
44,1156.91,1.93246,1.24798,2.22472,0.88635,0.93312,0.95567,0.66764,1.95585,0.92847,2.31691,0.0011486,0.0011486,0.0011486
45,1183.58,1.89901,1.20516,2.21575,0.92287,0.89809,0.95328,0.66971,2.02779,0.97467,2.36303,0.0011288,0.0011288,0.0011288
46,1209.99,1.93759,1.21869,2.22552,0.92894,0.87432,0.95528,0.68086,1.88782,0.90741,2.29972,0.001109,0.001109,0.001109
47,1235.54,1.90779,1.22966,2.1971,0.94825,0.8758,0.95625,0.6862,1.93875,0.93841,2.27902,0.0010892,0.0010892,0.0010892
48,1261.85,1.84731,1.15723,2.1851,0.95037,0.91471,0.96616,0.70807,1.86102,0.85525,2.26885,0.0010694,0.0010694,0.0010694
49,1290.08,1.84757,1.17204,2.16634,0.94631,0.89172,0.95724,0.69908,1.85749,0.89753,2.26361,0.0010496,0.0010496,0.0010496
50,1316.82,1.81107,1.14253,2.16988,0.91945,0.87898,0.96255,0.70569,1.84877,0.89918,2.24027,0.0010298,0.0010298,0.0010298
51,1342.14,1.82877,1.17542,2.17731,0.91464,0.88724,0.96178,0.6932,1.81882,0.90737,2.26573,0.00101,0.00101,0.00101
52,1367.11,1.76461,1.15224,2.12718,0.91537,0.93312,0.96497,0.70168,1.83617,0.87423,2.32088,0.0009902,0.0009902,0.0009902
53,1392.23,1.76747,1.10611,2.16155,0.94712,0.91266,0.96718,0.71919,1.6675,0.8085,2.15926,0.0009704,0.0009704,0.0009704
54,1417.88,1.72908,1.07996,2.13051,0.91048,0.91401,0.96124,0.71007,1.79719,0.86557,2.23413,0.0009506,0.0009506,0.0009506
55,1442.71,1.6808,1.1272,2.1016,0.94057,0.90732,0.96567,0.71891,1.69001,0.87569,2.20104,0.0009308,0.0009308,0.0009308
56,1467.55,1.66875,1.06198,2.09675,0.91998,0.93631,0.96379,0.73409,1.63373,0.82069,2.1675,0.000911,0.000911,0.000911
57,1492.57,1.6376,1.01563,2.09202,0.94095,0.90764,0.96221,0.72955,1.68944,0.79448,2.19363,0.0008912,0.0008912,0.0008912
58,1517.41,1.59933,1.04752,2.06621,0.9276,0.89772,0.95896,0.72791,1.66708,0.80902,2.15432,0.0008714,0.0008714,0.0008714
59,1542.22,1.62146,1.04752,2.07282,0.94429,0.87261,0.96186,0.73268,1.70578,0.86588,2.18705,0.0008516,0.0008516,0.0008516
60,1567.05,1.63987,1.04377,2.09193,0.93359,0.92994,0.97133,0.7371,1.63196,0.78503,2.17673,0.0008318,0.0008318,0.0008318
61,1591.87,1.60304,1.00913,2.0653,0.92201,0.92038,0.97156,0.75514,1.58624,0.76746,2.1436,0.000812,0.000812,0.000812
